sdnn,rmssd,sampen,lf,hf,lf_hf,total_power,Sub_vt1,Mid_vt,Supra_vt2,VT_label_3class,Supra_vt1
7.885595102954309,2.9298935049897947,0.8884142631190017,2.0702778114069393,0.13809468277019527,14.991727196709734,15.221006003282675,0,1,0,Mid_vt,1
4.446220926977954,2.3319011939063783,1.0546340833143946,1.148211880333047,0.3324373163869681,3.4539199534281226,6.860989958764324,0,1,0,Mid_vt,1
3.07170273420648,3.5315409244426545,1.052248461715998,0.12730997662079202,0.13499643352838847,0.9430617779544519,0.5376416409064099,0,1,0,Mid_vt,1
5.1832276811301625,6.9924707714177465,1.2594160170964832,0.18692553136423293,0.16901977599853824,1.105938818460211,0.9986550428439369,0,0,1,Supra_vt2,1
15.854077330204015,2.2776406657016848,0.49300373186148794,29.968260548484686,6.5218894343986396,4.595027384307068,77.20780962425037,1,0,0,Sub_vt1,0
13.168992325648535,1.958374345170338,0.42404888391111023,3.740402173298633,1.7523301178986044,2.1345305516885857,26.88707163299422,1,0,0,Sub_vt1,0
4.417817390747617,1.6893386161683233,0.596011116651111,5.44266682310638,0.3417070055960521,15.927876028214687,15.64168558787937,1,0,0,Sub_vt1,0
10.819487556725141,2.0793068565471073,0.5844218208242811,24.844221482813705,2.1745182455091214,11.425161197944748,51.50750807237962,1,0,0,Sub_vt1,0
8.992681636043278,1.6773099657652606,0.5096040084498421,6.236619206507981,0.4536688938229246,13.747072570821329,20.698140220966664,0,1,0,Mid_vt,1
4.7608324967867865,1.824889627975452,0.5404993633613134,2.031979371613718,0.29718159076073025,6.83750082369579,4.414276847468115,0,1,0,Mid_vt,1
3.0893821250710465,1.6864480765466634,0.6051441989818205,1.5159935163115545,0.06059740068694246,25.017467731717762,3.8672311821826786,0,1,0,Mid_vt,1
3.8473343023094237,1.7823670855321867,0.6262889734001357,0.29393300313480464,0.16989414418740728,1.7300949631940947,2.127445806551894,0,0,1,Supra_vt2,1
3.189907759498359,1.6412764010945837,0.6070395608370889,1.110665834385813,0.13292017327001343,8.355886146263227,2.226855168012124,0,0,1,Supra_vt2,1
1.427925440261593,1.7668581171922568,0.3023346142031381,0.08087628152030184,0.09865747987705693,0.8197683705390273,0.2224237308726912,0,0,1,Supra_vt2,1
2.7854941304626246,2.4457375672759714,0.7487663790956538,0.3243963373401722,0.04843075398071457,6.698147575182266,1.2312297090934012,0,0,1,Supra_vt2,1
